HealthCareFacility,Photos,Latitude,Longitude,MedicalSubdivision,RAPID_CHVA_Vulnerability,RAPID_CHVA_Vulnerability_Numeric,AdaptiveCapacity,DistanceFromShoreline (in meters),SeaLevelRise,CoastalErosion,AirPollution,Flooding,Cyclones,Drought,High Rainfall,Low Rainfall,Landslide,ChangingEcosystem,LackOfArableLand,HighTemperature,WaterShortage,SeawaterIntrusion,StructuralSafety,ConditionOfBuilding,StructuralResilience,Non-structuralSafety,WindowsAndShutters,Roofing,InternalWallsAndPartitions,EvacuationRoutes,Security,InfastructuralRiskFactorsPreventingAccess,WaterSupply,EnergySupply,ExposureToHeat,WasteManagement,MosquitosAndRodents,AdditionalRiskFactors,Country
Vunisea Subdivisional Hospital,,-19.05,178.16,Kadavu,Low - Medium Vulnerability,1.00,AC2,N/A,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,High,Average,Average,Average,Average,Average,Average,Average,Average,"Lack of proper roads, transportation costs high, lack of distance, potential damage to road/bridge, potential damage to building.",WAF Supply,HCF Generator only,"Outdoor activities, lack of shade, lack of indoor cooling facility","Improvement needed, incinerator working, infectious waste burned in pine forest, gen waste onsite burning.",High,"School dropouts 6-19, education and livlehood 20-29, health accessibility for elderly, elderly negligence, DV and elderly community, farming and fishing communities, lack of safe water for drinking and sanitation.",Fiji
Vunisea Heath Centre,,-19.05,178.16,Kadavu,Low - Medium Vulnerability,1.00,AC2,N/A,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,High,Average,Average,Average,Average,Average,Average,Average,Average,"Distance of health care facility, costs of transportation to the HCF - costly",WAF + water tank,"Solar energy, generator + EEL backup power generator","Outdoor activities, lack of shade, lack of indoor cooling facility","Gen waste - burn and bury onsite, sharps and needles collected at the Vunisea Hospital.",High,"Vax defaulters for children and also elderlies for SOPD CLINICS, mostly farming and fishing communities, lack of safe water for drinking and cooking hygiene practices, flooring is soft slowly rotting away, last time it was removed before TC Harold, waiting area for patients needs to be properly covered to protect patients, rusty strappings on the beams and some are visible and broken. ",Fiji
Daviqele Health Centre,,-19.14,178.00,Kadavu,Medium to High Vulnerability,2.00,AC3,150,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Low,Average,Low,Average,Average,Average,Average,Average,Average,"Lack of proper roads, transportation costs high, lack of distance, potential damage to road/bridge, potential damage to building.",Water tank + water supply sharing with the village for both clnic and quarters,HCF generator -- solar not functioning since 2021,"Outdoor activities, ack of shade, lack of indoor cooling","Incinerator not working, gen waste onside burning, sharps and needles advised to bury them.",High,"Substance abuse - marijuana, default cases of ANC, mostly farming and fishing communities, lack of safe water for drinking and sanitation",Fiji
Kavala Health Centre,,-18.97,178.43,Kadavu,Medium to High Vulnerability,2.00,AC3,N/A,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Low,Average,Low,Average,Average,Average,Average,Average,Average,"Distance to health care facility, cost of transportation to HCF - costly","Water tank + water dam source sharing with other Naleca settlements. Sometimes it gets brownish in color, new water tanks recently offloaded at the clinic for installation",Water tank + HCF generator only,"Outdoor activities, lack of shade, lack of indoor cooling facility","Gen waste - burn and bury onsite, sharps and needles collected at the Vunisea Hospital.",High,"Vax defaulters for GOPD Defaulters, teenage pregnancies, DV, substance abuse, elderly negligence, high school dropouts, farming and fishing communities.",Fiji
Naqara Nursing Station,,-18.88,178.49,Kadavu,Medium to High Vulnerability,2.00,AC3,N/A,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Low,Average,Low,Low,Average,Average,Average,Average,Average,"Lack of proper roads, transportation costs high, lack of distance, potential damage to road/bridge, potential damage to building.",Water tank,Solar energy+ backup power generator,"Outdoor activities, lack of shade, lack of indoor cooling facility","Need improvements...patients' toilets not working and closed, incinerator not working, infectious waste buried at pine forest, gen waste onsite burning.",High,"Substance abuse - marijuana, mostly farming and fishing communities, lack of safe water for drinking and sanitation",Fiji
Soso Nursing Station,,-19.01,178.32,Kadavu,Medium to High Vulnerability,2.00,AC3,N/A,No,No,No,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,No,High,Average,Average,Average,Average,Average,Average,Average,Average,"Lack of proper roads, transportation costs high, lack of distance, potential damage to road/bridge (newly constructed road Vunisea - Vacalea road, not yet commission, potential damage to building.",Water tank + borehole -- retention tank to clinic pipe systems,Solar energy + no power backup,"Outdoor activities, lack of shade, lack of indoor cooling facility","Incinerator not working, gen waste onside burning, sharps and needles advised to bury them.",High,"50 % vax defaulters due to religiou beliefs, substance abuse -- marajuana, 80 % SOPD defaulters - financial constraints, fridge working, part of the roof over the clinic area is collapsed, 96 % farmers and fisherman, 3 partially disabled and 1 completely disabled.",Fiji
Vacalea Nursing Station,,-19.03,178.43,Kadavu,High Vulnerability,3.00,AC3,25,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,Low,Low,Low,Low,Low,Low,Average,Low,Low,"Lack of proper road... all by sea, distance of health facility, 100% lack of safe water for drinking and sanitation",Water tank + supply shared with village and HCF from the dam to the tanks,"Solar energy + generator owned by NURSE, she uses it as a backup","Outdoor activities, lack of shade, lack of indoor cooling facility","Gen waste - burn and bury onsite, sharps and needles collected at the Vunisea Hospital.",High,N/A,Fiji
Gasele Nursing Station (currently closed),,-18.95,178.30,Kadavu,High Vulnerability,3.00,AC3,16,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes,yes,Low,Low,Low,Low,Low,Low,Low,Low,Low,"HCF closed down temporarily due to dilapidated conditions of the building, need a total repair and full maintenance of the clinic, water supply and quarts.",Water tank + dam-- source sharing with other Nalcea settlements. Sometimes it gets brownish in color. New water tanks recently offloaded at the clinic for new installation,Water tank + HCF generator only w/no backup power,"Outdoor activities, lack of shade, lack of indoor cooling facility","Gen waste - burn and bury onsite, sharps and needles collected at the Vunisea Hospital.",High,"Substance abuse and similar social issues recorded in other HCFs, farming and fishing community, all those that require the SOPD clinic, very expensive to hire the boat to Kavala Health Centre or Vunisea Hospital, domicile visitation -- staffs from Kavala Health Centre or Vunisea Hospital.",Fiji
Nalotu Nursing Station,,-19.07,178.05,Kadavu,High Vulnerability,3.00,AC3,17.6,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Low,Low,Low,Average,Low,Average,Average,Average,Average,"Lack of proper road/bridge, potential damage to buildings, lack and distance of HCF, transportation costs, lack of safe water for drinking and sanitation",Water tank + rainwater,,"Outdoor activities, lack of shade, lack of indoor cooling facility","Needs a lot of improvement, toilets need repairs and out of water, needles and sharps burnt and bury, general waste onsite burning.",High,"WC not working. 17-19 substance abuse and yaqona drinking, teenage pregnancies and single mothers 18+, mostly fishing and farming communities.",Fiji
Talaulia Nursing Station,,-19.11,178.01,Kadavu,High Vulnerability,3.00,AC3,11.2,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No,No,Yes,Low,Low,Low,Average,Average,Average,Low,Average,Average,"Distance of HF, transportation costs very high (boat), potential damage to bridge, lack of safe water for drinking and sanitation.",Water tank + water source sharing with Talaulia village,Solar + generator + new power backup but dependent on availability fo fuel,"Outdoor activities, lack of shade, lack of indoor cooling facility","Onside burning for both general and infectious wastes, needles and sharps sent to Vunisea hospital.",High,"King tide and during TCs, water reaches the solar stand and damaged the fence around the solar panels. ""Quite terrifying."" Farming and fishing communities only.",Fiji
Ravitaki Nursing Station,,-19.13,178.13,Kadavu,High Vulnerability,3.00,AC3,8,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Low,Average,Low,Average,Average,Average,Average,Average,Average,"Transportation costs, improper roads/bridges (not gravelled or concrete but soil), lack of safe water for drinking and sanitation",Water tank + clinic was out of water when visited/source from dam,Solar energy,"Outdoor activities, lack of shade, lack of indoor cooling facility","Bury and burn them for general waste, sharps and needles to Vunisea Hospital.",High,"No power source but sunken solar lights, no back up power supply.",Fiji
Lomaloma Subdivisional Hospital,,-18.99,181.05,Lomaloma,High Vulnerability,3.00,AC3,50,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,High,Average,Average,Average,Average,Average,Average,Average,Average,Distance to HCF,WAF Supply,HCF Generator only + backup power - solar energy,"Outdoor activities, lack of shade, lack of indoor cooling facility","General waste burned in Lopta Farm road, sharps and needles have special concrete disposal capsule.",High,"School dropouts 6-19, education and livlehood 20-29, health accessibility for elderly, elderly negligence, DV and elderly community, mostly farming and fishing communities, suki smoking, teenage pregnancies, alcohol consumption, GBV cases, social welfare for the elderly, lack of safe water for drinking and sanitation, high LF cases because of Aedes Rotumae Mosquitoe species, Courage farming and kava plantation.",Fiji
Lomaloma Health Center,,-17.30,181.01,Lomaloma,High Vulnerability,3.00,AC3,50,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Low,Low,Low,Low,Low,Low,Low,Low,Low,Distance of HCF to shoreline,Water tank -- WAF Supply,Solar + generator + backup generator,"Lack of shade, lack of indoor cooling facility (but quite windy)","Sharps and needles to CWM hospital, general waste burnt onside",N/A,"Generator + EEL, need renovations to be done or relocation to higher grounds, proposed new site of hospital in Mualevu district, solar only powers vaccine fridge, newest building in the hospital wing at Lomaloma hospital.",Fiji
Cicia Health Centre,,-17.72,180.68,Lomaloma,High Vulnerability,3.00,AC3,N/A,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Low,Average,Low,Average,Average,Average,Average,Average,Average,"Distance of HCF, accessing HCF on foot or via vehicles through sandy roads.",Water tank - rainwater for drinking,"Full-time generator, back-up solar lights","Lack of shade, lack of indoor cooling facility","Sharps and needles to CWM hospital, general waste burnt onsite",High,"Rainwater in water tanks for drinking purpose. Generator + solar as backup, last maintenance was in 1995, solar fridge only. However, generator is the main source of power in Cica HCF. Leptos in Lomaji Village. Last cast of typhoid was 2019. ARI cases for 0-5yrs olds on the rise because of change in weather conditions. Less than 100m distance to shoreline. Total dependence on rainwater for drinking. MVA case in Mabula Village during a rainy day where a 10 wheeler trick slipped and caused serious injuries.",Fiji
Tuvuca Nursing Station,,-17.69,181.18,Lomaloma,High Vulnerability,3.00,AC3,N/A,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Low,Average,Low,Average,Average,Average,Average,Average,Average,"Distance of HCF, accessing HCF on foot via footpath through the village or by the beach","Water tank - spring source to water tanks as resevoir, same as Tuvuca village. Rainwater for drinking purpose.","Solar energy, no backup power","Lack of shade, lack of indoor cooling","Sharps and needles to CWM hospital, general waste burnt onsite",High,"Generator + solar, backup generator available (Ford) but awaits fuel supply. Water supply from the spring for washing and bathing. Rainwater for drinking and cooking. NS have 3 water tanks for both clinic and QRTS but the issue is with the water supply. TC Meli affected the NS and not in 2016 by TC Winston. Water surge during the Tongan volcano damaged the water spring but repaired.",Fiji
Mualevu Nursing Station,,-17.24,181.06,Lomaloma,Low - Medium Vulnerability,1.00,AC2,N/A,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Average,Average,Average,Average,Average,Average,Average,Average,Average,"Distance is very costly to many communities (better to take $2.50/head Mavana to Lomaloma where they can do everything, shopping and medical check) rather than stopping over at Mualevu Nursing Station. No proper roads.",WAF supply + rainwater for drinking + WAF water for bathroom and washing,Generator + solar power for Vax fridge only + No light and no power source in the NS + generator for qrts and no connections to the clinic,"Outdoor activities, lack of shade, lack of indoor cooling facility","Improvement needed, general waste burnt, cast-iron incinerator not working",N/A,"Excessive kava consumption and suki smoking, same as Lomaloma...remittance dependence, lack of safe water for drinking and cooking and hygiene practices.",Fiji
Ogea Nursing Station,,-19.16,181.59,Lakeba,High Vulnerability,3.00,AC2,N/A,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Low,Low,Low,Low,Low,Low,Low,Low,Low,"Getting across to the HCF during high tide and king tides, accessing the HCF via flooded ",Water tank - rainwater for drinking,Full-time generator + back up solar,"Lack of shade, lack of indoor cooling","Sharps and needles to CWM hospital, general waste burnt onsite",High,"Flooded all aroudn the HCF, lack of safe water for drinking and cooking and hygiene practices, mosquitoes and rodents. No incinerator. Fallen cieling in the clinic side. Much needed refurbishments and maintenance. Refer to photos for the devestating effects of sea level rise and coastal erosion around the HCF. The msot impacted HCF in the subdivision.",Fiji
Lakeba Subdivisional Hospital,,-18.24,181.19,Lakeba,High Vulnerability,3.00,AC2,N/A,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Low,Average,Average,Average,Average,Average,Average,Average,Average,"Distance of HCF from other villages within Lakeba for emergencies and also from outer islands, no proper roads to Hospital","WAF - water supply, back up rainwater tanks","Full-time generator, back up solar lights","Lack of shade, lack of indoor cooling facility","Sharp needles to CWM hospital, general waste burnt onsite.",High,Water supply is highly abundance and not an issue at all. But qrts has rusty roof from seawater mists. C COASTAL erosion for qrts is obvious. Dental qrts and dietitian qrts beside the sea has eroded badly.,Fiji
Lakeba Health Centre - Lau,,-18.24,181.22,Lakeba,High Vulnerability,3.00,AC2,N/A,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Low,Average,Average,Average,Average,Average,Average,Average,Average,"Distance of HCF from other villages within Lakeba for emergencies and also from outer islands. No proper roads to Hospital. Lack of safe drinking water, cooking, high disease vector population.",WAF - water supply. Back up rainwater tanks,Full-time generator + back-up solar lights,Lack of shade + lack of indoor cooling facility,Sharps and needles to CWM hospital. General waste burnt onsite,High,Water supply is highly abundance and not an issue at all. But qrts has rusty roof from seawater mists. C COASTAL erosion for qrts is obvious. Dental qrts and dietitian qrts beside the sea has eroded badly.,Fiji
Oneata Nursing Station - Lau,,-18.45,181.51,Lakeba,High Vulnerability,3.00,AC2,18.3,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Average,Low,Low,Average,Average,Average,Average,Average,Average,"Distance to some patients, improper road access to NS, high mosquito and rodent population, lack of safe water for drinking and sanitation.",Borebole water source,"Generator + solar ""New Ford Generator as backup but no fuel supply""","Outdoor activities, lack of shade, lack of indoor cooling facility","Need a lot of improvement, sharps and needles to Suva, general waste burn and bury",High,"Rusty window frames of the qrts and NS facility, fencing application lodged in 2017 for the NS - BUT no feedback or response yet, holes on the roof, need general works and repairs to avoid further damages",Fiji
Nayau Nursing Station,,-17.98,180.97,Lakeba,High Vulnerability,3.00,AC2,10,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Low,Average,Average,Average,Average,Average,Average,Average,Average,"Lack of proper roads, lack of safe water for drinking and sanitation, high mosquito and rodent population",Water tank - rainwater. Water source - spring water,Generator + solar,"Outdoor activities, lack of shade, lack of indoor cooling facility","Need improvement, burn and bury for general waste",High,"Common issues with other islands in upper Southern Lau, NCD prevalence in the upper Souther Lau, 70% tapas making and weaving, cieling of the nursing station - fell off and needing repairs asap, refer to photos for evidence, NCD high prevalence especially diabetes, in upper Southern Lau",Fiji
Fulaga Nursing Station,,-19.15,181.42,Lakeba,High Vulnerability,3.00,AC2,50,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Low,Average,Low,Average,Average,Average,Average,Average,Average,"Distance of HCF, no proper roads, lack of safe water for drinking and sanitation, high mosquito and rodents",Water tank - rainwater. Rainwater for drinking. Water from springs/well for bathing and washing,Generator + solar,"Outdoor activities, lack of shade, lack of indoor cooling facility","Need improvements, no incinerator, general waste buried and burnt onsite",High,"General maintenance works needed, 80% carving and weaving, fishing",Fiji
