source_file,is_relevant,non_expert_policy_maker_question,expert_translation_analytical_query,follow_up_needed,non_technical_follow_up_questions,expert_approach,visual
IPCC_AR6_WGI_Chapter11.pdf,True,"How confident are scientists that the increasing heat waves we're experiencing in Kiribati are caused by climate change, and can we attribute specific extreme heat events to human influence?",Load Kiribati's historical temperature records and overlay with a raster of attribution confidence levels for heat extremes from IPCC AR6 data. Compute the spatial extent where the probability of extreme heat events has increased due to human influence.,True,"Are you interested in a specific island group like the Gilbert Islands, or the whole of Kiribati? Would you like to see the attribution for heat waves, or also for extreme rainfall events?","1. Load Kiribati administrative boundaries and filter to atoll islands. 2. Load gridded attribution dataset (e.g., IPCC WGI AR6) and clip to Kiribati extent, then calculate zonal statistics of attribution confidence for heat extremes. 3. Package results as a styled map layer and a summary chart.",Style the map layer with a diverging color ramp showing high confidence in attribution in red and low confidence in blue. Render a bar chart in the chat panel comparing the number of attributable heat events per decade for the selected atoll.
esd-12-401-2021.pdf,True,How will the increasing frequency of extreme heatwaves affect our public health and power grid in low-lying atoll nations like Kiribati?,"Calculate the projected change in heatwave days (Tmax > 35°C) for Kiribati from a downscaled climate model ensemble, and overlay with health facilities and power infrastructure layers to identify at-risk assets.",True,"Are you specifically concerned about heat impacts on the main island of Tarawa, or across all of Kiribati's islands? Which critical infrastructure (hospitals, power stations) should we prioritize for mapping?","1. Load projected daily maximum temperature data from a downscaled SMILE (e.g., CMIP6) and filter to the Kiribati region. 2. Process: Compute heatwave index (consecutive days with Tmax > 35°C) for a future time slice, then classify hazard zones. 3. Package: Intersect heatwave hazard zones with point layers of health facilities and power infrastructure, calculate exposure counts, and export as GeoJSON for the map canvas.","Style the map with a heatwave risk gradient (yellow to red) over Kiribati's atolls, and render an inline bar chart in the chat panel showing the number of health facilities and power stations located in high-risk zones."
IPCC_AR6_WGI_Chapter11.pdf,True,"How will more frequent and intense heat extremes affect public health and energy demand on our main islands in Fiji, and which communities are most at risk?","Map the projected change in annual maximum temperature (TXx) for Fiji under SSP3-7.0, classify areas where TXx exceeds 35°C as high heat risk, and overlay health facility locations to identify clinics in high-risk zones.",True,"Would you like to focus on a specific island like Viti Levu or Vanua Levu? And are you most concerned about impacts on hospitals, schools, or electricity infrastructure?","1. Load downscaled CMIP6 TXx GeoTIFF for SSP3-7.0 (mid-century) and clip to Fiji administrative boundary. 2. Reclassify the raster: pixels >35°C as 'high risk', create polygon layer of high-risk zones. 3. Perform spatial join between high-risk polygons and health facility point layer, then count facilities per risk zone.","Style the map with a red-yellow heat risk gradient for TXx anomaly, overlay health facility points sized by catchment population. In the chat panel, render a bar chart showing the number of health facilities inside vs outside high-risk heat zones."
IPCC_AR6_WGI_Chapter11.pdf,True,How will increasing heat extremes and compound events affect public health and freshwater availability on low-lying atolls like Tuvalu?,"Load CMIP6 downscaled daily maximum temperature projections for Tuvalu under SSP5-8.5, compute the annual count of days with TX > 35Â°C and heatwave duration (â¥3 consecutive days > 95th percentile of historical baseline), then intersect with settlement and water lens polygons to identify exposure hotspots.",True,Which specific Pacific Island nation or atoll group are you most concerned about? Are you primarily interested in health impacts on communities or risks to freshwater lenses?,"1. Filter and load CMIP6 NetCDF files for the Tuvalu region, clipping to the atoll boundary shapefile. 2. Process the raster stack to calculate extreme heat indices (TX35, HWF, HWD) for a future time slice (e.g., 2041-2070). 3. Package the resulting hazard layers and overlay with population and groundwater lens vector data, exporting a GeoPackage for the QGIS project.","Style the map with a classified heatmap of projected annual heatwave days per atoll, using a yellow-to-red ramp. In the chat panel, render a bar chart comparing the historical (1985-2014) and future (2041-2070) average number of heatwave days for the selected atoll."
IPCC_AR6_WGI_Chapter11.pdf,True,"How will rising temperatures increase the frequency and intensity of dangerous heatwaves on low-lying coral atolls like Kiribati, and which communities are most at risk of heat stress?","Calculate the projected change in annual count of days with maximum temperature exceeding 35°C by mid-century (2040–2059) under SSP5-8.5, and perform a zonal overlay with high-resolution population density data to identify at-risk settlements in Kiribati.",True,"Are we focusing on a specific atoll like Tarawa or Kiritimati? Would you like to prioritize outdoor worker exposure, school locations, or elderly population density?","1. Load CMIP6-downscaled daily maximum temperature rasters for the historical (1995–2014) and future (2040–2059) periods. 2. Clip rasters to the Kiribati boundary and apply a cell-wise exceedance count for Tmax > 35°C to produce a heatwave days layer. 3. Overlay the heatwave days layer with a population density raster (e.g., WorldPop) using zonal statistics to compute total exposed population per atoll.","Style the heatwave frequency layer as a red-yellow heatmap graduated by number of extreme days per year. Render an inline bar chart showing, for each major atoll, the current vs. projected number of heatwave days alongside exposed population estimates."
IPCC_AR6_WGI_Chapter11.pdf,True,"With the IPCC projecting increases in heavy precipitation events globally, how serious is the threat of compound flooding from extreme rainfall combined with storm surges on our low‑lying atolls, such as in the Marshall Islands?","Intersect the projected change in Rx5day (max 5‑day precipitation) under a 2°C warming scenario with a coastal flood hazard layer and a high‑resolution digital elevation model for the Marshall Islands, classifying cells where both pluvial and marine flood events overlap as areas of elevated compound flood risk.",True,"Are you most concerned about a particular atoll, like Majuro or Kwajalein? Would you like to see how this risk affects population centers, freshwater lenses, or critical infrastructure?","1. Load the CMIP6 multi‑model ensemble median projection of Rx5day change for the 2°C GWL period, and a coastal flood inundation layer (e.g., from GTSM or similar). 2. Intersect the precipitation extreme layer and the coastal flood layer with a clipped DEM for the Marshall Islands, retaining cells where both hazards exceed local critical thresholds. 3. Package the resulting compound flood hazard index as a GeoJSON overlay for immediate rendering.","Style the compound flood risk layer with a five‑class yellow‑to‑red gradient on the QGIS map canvas, overlaid on the atoll extents and population settlement points. In the chat panel, render a bar chart showing the estimated population and the area of critical coastal infrastructure falling within each risk class."
IPCC_AR6_WGI_Chapter11.pdf,True,How will the projected increase in heatwave frequency and intensity affect public health and electricity grids in small Pacific Island nations like Fiji?,"Calculate the projected change in annual number of days with maximum temperature exceeding 35°C under a 2°C global warming scenario for Fiji using downscaled CMIP6 data, and overlay with population density and critical infrastructure (hospitals, power substations).",True,"Are you specifically concerned about Fiji, or would you like to see this analysis for other Pacific Island countries like Vanuatu or Samoa? Additionally, which critical assets should we map—hospitals, schools, or power infrastructure?","1. Filter: Load bias-corrected CMIP6 daily maximum temperature projections, clip to Fiji administrative boundary, and extract the extreme heat index (TXx, heatwave days). 2. Process: Compute the change in frequency of days exceeding 35°C between historical (1995-2014) and 2°C warming period; perform zonal statistics to aggregate exposure per district and intersect with point layers of health facilities and power substations. 3. Package: Publish a heat exposure risk geotiff and a summary table of population and assets exposed to increased heatwaves.","On the map canvas, render the heatwave frequency increase layer using a yellow-to-red heatmap gradient over Fiji’s districts. In the chat panel, display a grouped bar chart comparing current vs. future average annual heatwave days per district, with a dashed line indicating the health-hazard threshold of 35°C."
IPCC_AR6_WGI_Chapter11.pdf,True,How will the frequency of dangerous heat days change on low-lying atolls like Kiribati if global warming reaches 1.5°C versus 2°C?,"Load a gridded climate projection layer of annual extreme heat days (e.g., TX35 or equivalent) for GWL 1.5°C and 2.0°C from a multi-model ensemble, clip to the exclusive economic zone of Kiribati, and compute the difference in average number of heat days per year between the two warming levels.",True,"Would you like to focus specifically on Kiribati, or another Pacific Island nation like Tuvalu or the Marshall Islands? Are you most concerned about heat stress on human health, or impacts on agriculture and water resources?","1. Filter: Load NetCDF layers of extreme heat frequency at GWL 1.5°C and 2.0°C from the IPCC AR6 Atlas or CMIP6 repository. 2. Process: Clip both rasters to the Kiribati boundary, then calculate the difference raster (2.0°C minus 1.5°C) and zonal statistics for each atoll. 3. Package: Export the difference raster as a GeoTIFF and the zonal statistics table as a CSV for the chat panel.",Style the difference raster on the map with a red-blue diverging color ramp to highlight increases in heat days; render an inline bar chart in the chat window comparing the average annual number of extreme heat days for each atoll at 1.5°C versus 2.0°C.
esd-12-401-2021.pdf,True,"How will changes in regional climate variability, such as more intense heatwaves, affect public health and energy demands on a densely populated Pacific Island like Fiji?",Analyze projected changes in summer temperature variability from downscaled climate model ensembles. Map the spatial intersection of extreme heat days (above 35°C) with critical infrastructure (hospitals and power stations) and population density.,True,"To tailor this analysis, could you specify which Pacific Island nation you are most concerned about? Also, are you primarily interested in the impact on public health facilities, the electrical grid, or both?","1. Load the user-specified island's boundary layer and filter a multi-model ensemble climate projection layer for the RCP 8.5 scenario. 2. Process the data by calculating the change in the standard deviation of daily maximum summer temperatures between a historical baseline (e.g., 1985-2014) and a future period (e.g., 2070-2099). 3. Package the result into a new raster layer showing the spatial distribution of increased temperature variability and overlay it with point layers of hospitals and power stations.",Style the new 'Increased Temperature Variability' raster layer with a warm-to-hot color ramp (yellow to dark red). Generate a pop-up chart for each critical infrastructure point showing the projected increase in the number of extreme heat days per year.
IPCC_AR6_WGI_Chapter11.pdf,True,"With global warming, how much more frequent will dangerously hot days become in Pacific Island countries like Tuvalu, and what impact could that have on our communities?","Calculate the change in the number of days per year exceeding the Health Heat Index threshold of 40.6 °C for a specified Pacific Island boundary, using downscaled climate projections at warming levels of +1 °C, +1.5 °C, +2 °C and +3 °C. Aggregate the results to the island scale to compare the frequency increase relative to a 1981–2000 baseline.",True,"Which specific island group are you most concerned about – low-lying atolls such as Kiribati, Tuvalu, or the Marshall Islands, or larger volcanic islands like Fiji? And which sectors are your priority for heat stress analysis: outdoor workers, schools, or healthcare facilities?","1. Load bias-adjusted CMIP6 Health Heat Index projections, clip to the selected island boundary, and resample to a common grid resolution.  2. For each warming scenario, compute pixel-level annual count of days with HHI > 40.6 °C, then derive multi-model ensemble mean and area‑weighted island aggregates, comparing to the 1981–2000 baseline.  3. Package the results as a classified raster layer and an exposure summary table.","The QGIS map will use a yellow‑to‑red heatmap ramp to show per‑grid‑cell increase in dangerous heat days, with higher color intensity where the change is greater. In the chat panel, an inline bar chart will compare the present‑day frequency with the projected frequencies under +1.5 °C, +2 °C, and +3 °C, alongside the percentage of the island’s land area exposed to HHI > 40.6 °C for at least 30 days per year."
